t_h,SOC,发电W,耗电W
79.16666666666667,1.0,3.289743099674323,0.78
79.33333333333333,0.998,0.0,0.78
79.5,0.9954,0.0,0.78
79.66666666666667,0.9927,0.0,0.78
79.83333333333333,0.9929,5.736765234398238,0.78
80.0,0.9945,5.354801927139198,9.45
80.16666666666667,0.9946,3.0167132674804558,0.78
80.33333333333333,1.0,5.324710954708399,0.78
80.5,1.0,5.761553108540222,0.78
80.66666666666667,1.0,3.0937003732908934,0.78
80.83333333333333,0.9992,0.0,0.78
81.0,0.9966,0.0,0.78
81.16666666666667,0.9939,0.0,0.78
81.33333333333333,0.9912,0.0,0.78
81.5,1.0,6.2585534094626,0.78
81.66666666666667,1.0,3.6415107290410846,0.78
81.83333333333333,1.0,3.9062735187485313,0.78
82.0,1.0,6.3052140183966925,0.78
82.16666666666667,1.0,4.064289264627322,0.78
82.33333333333333,1.0,3.5113429709102184,0.78
82.5,0.9977,0.0,0.78
82.66666666666667,0.9951,0.0,0.78
82.83333333333333,0.9924,0.0,0.78
83.0,0.9823,5.974753638898778,9.45
83.16666666666667,0.9895,5.025449873999613,0.78
83.33333333333333,0.9993,3.050033384510823,0.78
83.5,1.0,5.626615079096457,0.78
83.66666666666667,1.0,5.479535098628977,0.78
83.83333333333333,1.0,3.024112667108615,0.78
84.0,0.9989,0.0,0.78
84.16666666666667,0.9963,0.0,0.78
84.33333333333333,0.9936,0.0,0.78
84.5,0.991,0.0,0.78
84.66666666666667,1.0,6.13908453478138,0.78
84.83333333333333,1.0,3.3929066533467043,0.78
85.0,1.0,4.230533599618509,0.78
85.16666666666667,1.0,6.2867041584295285,0.78
85.33333333333333,1.0,3.7552769488572264,0.78
85.5,1.0,3.78440619930862,0.78
85.66666666666667,0.9975,0.0,0.78
85.83333333333333,0.9948,0.0,0.78
86.0,0.9789,0.0,9.45
86.16666666666667,0.9723,6.15403512706988,0.78
86.33333333333333,0.9894,4.679846292405993,0.78
86.5,0.9985,3.1554478496945664,0.78
86.66666666666667,1.0,5.885381968996973,0.78
86.83333333333333,1.0,5.16095766193552,0.78
87.0,1.0,3.0277785524662963,0.78
87.16666666666667,0.9987,0.0,0.78
87.33333333333333,0.996,0.0,0.78
87.5,0.9934,0.0,0.78
87.66666666666667,0.9907,0.0,0.78
87.83333333333333,1.0,5.953559429270371,0.78
88.0,1.0,3.2010627217724092,0.78
88.16666666666667,1.0,4.574092920929706,0.78
88.33333333333333,1.0,6.195536125649687,3.75
88.5,1.0,3.486818614312598,0.78
88.66666666666667,0.9999,0.0,0.78
88.83333333333333,0.9972,0.0,0.78
89.0,0.9813,0.0,9.45
89.16666666666667,0.9668,0.0,0.78
89.33333333333333,0.9742,6.266591754181288,0.78
89.5,0.9906,4.333447493236083,0.78
89.66666666666667,0.9994,3.3282422479281766,0.78
89.83333333333333,1.0,6.08943888122041,0.78
90.0,1.0,4.820068428294769,0.78
90.16666666666667,1.0,3.1045340812258155,0.78
90.33333333333333,0.9984,0.0,0.78
90.5,0.9958,0.0,0.78
90.66666666666667,0.9931,0.0,0.78
90.83333333333333,0.9914,5.386093485860111,0.78
91.0,1.0,5.710275268824519,0.78
91.16666666666667,1.0,3.074558704911851,0.78
91.33333333333333,1.0,4.921586596558432,0.78
91.5,1.0,6.035787196832656,0.78
91.66666666666667,1.0,3.2709204313499725,0.78
91.83333333333333,0.9996,0.0,0.78
92.0,0.9969,0.0,0.78
92.16666666666667,0.9943,0.0,0.78
92.33333333333333,0.9916,0.0,0.78
92.5,1.0,6.307389688662275,0.78
92.66666666666667,1.0,4.00174535161154,0.78
92.83333333333333,1.0,3.560688754387868,0.78
93.0,1.0,6.229659848213035,0.78
93.16666666666667,1.0,4.472112870411981,0.78
93.33333333333333,1.0,3.250946542103853,0.78
93.5,0.9981,0.0,0.78
93.66666666666667,0.9955,0.0,0.78
93.83333333333333,0.9928,0.0,0.78
94.0,0.993,5.680625882245627,0.78
94.16666666666667,1.0,5.42011236781481,0.78
94.33333333333333,1.0,3.0190521986813224,0.78
94.5,1.0,5.257473785597302,0.78
94.66666666666667,1.0,5.814601768731488,0.78
94.83333333333333,1.0,3.1172379406278736,0.78
95.0,0.9993,0.0,0.78
95.16666666666667,0.9967,0.0,0.78
95.33333333333333,0.994,0.0,0.78
95.5,0.9914,0.0,0.78
95.66666666666667,1.0,6.274604338430777,0.78
95.83333333333333,1.0,3.6995744690608445,0.78
96.0,1.0,3.8423917433983545,0.78
96.16666666666667,1.0,6.299773815585248,0.78
96.33333333333333,1.0,4.132652485796741,0.78
96.5,1.0,3.460467980645565,0.78
96.66666666666667,0.9979,0.0,0.78
96.83333333333333,0.9952,0.0,0.78
97.0,0.9926,0.0,0.78
97.16666666666667,0.9948,5.929605537451275,0.78
97.33333333333333,1.0,5.096047582506783,0.78
97.5,1.0,3.0370256015909307,0.78
97.66666666666667,1.0,5.56673272007246,0.78
97.83333333333333,1.0,5.5418718416622506,0.78
98.0,1.0,3.0326442316614997,0.78
98.16666666666667,0.9989,0.0,0.78
98.33333333333333,0.9963,0.0,0.78
98.5,0.9936,0.0,0.78
98.66666666666667,0.991,0.0,0.78
98.83333333333333,1.0,6.169701951501578,0.78
99.0,1.0,3.440448730704542,0.78
99.16666666666667,1.0,4.1607527084474745,0.78
99.33333333333333,1.0,6.2966451003340556,0.78
99.5,1.0,3.816868845227614,0.78
99.66666666666667,1.0,3.7237280411540645,0.78
99.83333333333333,0.9929,0.0,3.75
100.0,0.9893,0.0,0.78
100.16666666666667,0.9866,0.0,0.78
100.33333333333333,0.9909,6.121897419440228,0.78
100.5,1.0,4.7525739515522565,0.78
100.66666666666667,1.0,3.12767509528434,0.78
100.83333333333333,1.0,5.835532518339322,0.78
101.0,1.0,5.229794622954239,0.78
101.16666666666667,1.0,3.0209225599890464,0.78
101.33333333333333,0.9972,0.0,3.75
101.5,0.99,0.0,0.78
101.66666666666667,0.9873,0.0,0.78
101.83333333333333,0.9847,0.0,0.78
102.0,1.0,5.997374041477393,0.78
102.16666666666667,1.0,3.2359569283890317,0.78
102.33333333333333,1.0,4.501533700887689,0.78
102.5,1.0,6.220413626922473,0.78
102.66666666666667,1.0,3.5388846325501606,0.78
102.83333333333333,0.9999,0.0,0.78
103.0,0.9972,0.0,0.78
103.16666666666667,0.9946,0.0,0.78
103.33333333333333,0.9919,0.0,0.78
103.5,0.9983,6.248901724085503,0.78
103.66666666666667,1.0,4.405052528774403,0.78
103.83333333333333,1.0,3.2869465934324205,0.78
104.0,0.9941,6.051851738875993,9.45
104.16666666666667,1.0,4.8923270354147,0.78
104.33333333333333,1.0,3.082597149927118,0.78
104.5,0.9984,0.0,0.78
104.66666666666667,0.9958,0.0,0.78
104.83333333333333,0.9931,0.0,0.78
105.0,0.9904,0.0,0.78
105.16666666666667,1.0,5.765327570589241,0.78
105.33333333333333,1.0,3.09524447910902,0.78
105.5,1.0,4.8494940888479565,0.78
105.66666666666667,1.0,6.074488669485577,0.78
